rankx   flowid   timex
99699159   0   7840900
9699159   2   7852900
49699159   1   7864900
99697779   0   7876900
9697779   2   7888900
49697779   1   7900900
99696399   0   7912900
9696399   2   7924900
49696399   1   7936900
99695019   0   7948900
9695019   2   7960900
49695019   1   7972900
99693639   0   7984900
9693639   2   7996900
49693639   1   8008900
99692259   0   8020900
9692259   2   8032900
49692259   1   8044900
99690879   0   8056900
9690879   2   8068900
49690879   1   8080900
99689499   0   8092900
99688119   0   8104900
99686739   0   8116900
9689499   2   8128900
49689499   1   8140900
9688119   2   8152900
9686739   2   8164900
49688119   1   8176900
99685359   0   8188900
99683979   0   8200900
99682599   0   8212900
49686739   1   8224900
9685359   2   8236900
9683979   2   8248900
9682599   2   8260900
49685359   1   8272900
99681219   0   8284900
99679839   0   8296900
99678459   0   8308900
9681219   2   8320900
9679839   2   8332900
9678459   2   8344900
9677079   2   8356900
49682599   1   8368900
99675699   0   8380900
9675699   2   8392900
49732279   1   8404900
99674319   0   8416900
9674319   2   8428900
99672939   0   8440900
9672939   2   8452900
99671559   0   8464900
9671559   2   8476900
99670179   0   8488900
9670179   2   8500900
99668799   0   8512900
9668799   2   8524900
99667419   0   8536900
9667419   2   8548900
99666039   0   8560900
9666039   2   8572900
99664659   0   8584900
9664659   2   8596900
99663279   0   8608900
9663279   2   8620900
99661899   0   8632900
9661899   2   8644900
99660519   0   8656900
9660519   2   8668900
99659139   0   8680900
9659139   2   8692900
99657759   0   8704900
9657759   2   8716900
99656379   0   8728900
9656379   2   8740900
99654999   0   8752900
9654999   2   8764900
99653619   0   8776900
9653619   2   8788900
99652239   0   8800900
9652239   2   8812900
49681219   1   8824900
99650859   0   8836900
9650859   2   8848900
49679839   1   8860900
99649479   0   8872900
9649479   2   8884900
49678459   1   8896900
99648099   0   8908900
9648099   2   8920900
49677079   1   8932900
99646719   0   8944900
9646719   2   8956900
49675699   1   8968900
99645339   0   8980900
9645339   2   8992900
49674319   1   9004900
99643959   0   9016900
9643959   2   9028900
49672939   1   9040900
99642579   0   9052900
9642579   2   9064900
49671559   1   9076900
99641199   0   9088900
9641199   2   9100900
49670179   1   9112900
99639819   0   9124900
99638439   0   9136900
99637059   0   9148900
9639819   2   9160900
49668799   1   9172900
9638439   2   9184900
9637059   2   9196900
99635679   0   9208900
99634299   0   9220900
99632919   0   9232900
9635679   2   9244900
9634299   2   9256900
9632919   2   9268900
99631539   0   9280900
99630159   0   9292900
99628779   0   9304900
9631539   2   9316900
9630159   2   9328900
9628779   2   9340900
9627399   2   9352900
9626019   2   9364900
99627399   0   9376900
9624639   2   9388900
49729519   1   9400900
49667419   1   9412900
99626019   0   9424900
49666039   1   9436900
9623259   2   9448900
99677079   0   9460900
9621879   2   9472900
9620499   2   9484900
9619119   2   9496900
9617739   2   9508900
9616359   2   9520900
9614979   2   9532900
9613599   2   9544900
9612219   2   9556900
9610839   2   9568900
9609459   2   9580900
9608079   2   9592900
9606699   2   9604900
9605319   2   9616900
9603939   2   9628900
9602559   2   9640900
9601179   2   9652900
9599799   2   9664900
99624639   0   9676900
9598419   2   9688900
99623259   0   9700900
9597039   2   9712900
99621879   0   9724900
9595659   2   9736900
99620499   0   9748900
9594279   2   9760900
99619119   0   9772900
9592899   2   9784900
99617739   0   9796900
9591519   2   9808900
99616359   0   9820900
9590139   2   9832900
99614979   0   9844900
99613599   0   9856900
9588759   2   9868900
9587379   2   9880900
9585999   2   9892900
9584619   2   9904900
9583239   2   9916900
9581859   2   9928900
9580479   2   9940900
9579099   2   9952900
9577719   2   9964900
9576339   2   9976900
9574959   2   9988900
9573579   2   10000900
9572199   2   10012900
49728139   1   10024900
49664659   1   10036900
9570819   2   10048900
99612219   0   10060900
99610839   0   10072900
9569439   2   10084900
