rankx   flowid   timex
8597919   2   12508900
8596539   2   12520900
8595159   2   12532900
8593779   2   12544900
8592399   2   12556900
8591019   2   12568900
8589639   2   12580900
8588259   2   12592900
8586879   2   12604900
8585499   2   12616900
8584119   2   12628900
8582739   2   12640900
8581359   2   12652900
8579979   2   12664900
8578599   2   12676900
8577219   2   12688900
8575839   2   12700900
8574459   2   12712900
8573079   2   12724900
8571699   2   12736900
8570319   2   12748900
8568939   2   12760900
8567559   2   12772900
8566179   2   12784900
8564799   2   12796900
8563419   2   12808900
8562039   2   12820900
8560659   2   12832900
8559279   2   12844900
8557899   2   12856900
8556519   2   12868900
8555139   2   12880900
8553759   2   12892900
8552379   2   12904900
8550999   2   12916900
8549619   2   12928900
8548239   2   12940900
8546859   2   12952900
8545479   2   12964900
8544099   2   12976900
8542719   2   12988900
8541339   2   13000900
8539959   2   13012900
8538579   2   13024900
8537199   2   13036900
8535819   2   13048900
8534439   2   13060900
8533059   2   13072900
8531679   2   13084900
8530299   2   13096900
8528919   2   13108900
8527539   2   13120900
8526159   2   13132900
8524779   2   13144900
8523399   2   13156900
8520639   2   13168900
8519259   2   13180900
8517879   2   13192900
8516499   2   13204900
8515119   2   13216900
8513739   2   13228900
8512359   2   13240900
8510979   2   13252900
8509599   2   13264900
8508219   2   13276900
8506839   2   13288900
8505459   2   13300900
8504079   2   13312900
8502699   2   13324900
8501319   2   13336900
8499939   2   13348900
8498559   2   13360900
8497179   2   13372900
8495799   2   13384900
8494419   2   13396900
8493039   2   13408900
8491659   2   13420900
8490279   2   13432900
8488899   2   13444900
8487519   2   13456900
8486139   2   13468900
8484759   2   13480900
8483379   2   13492900
8481999   2   13504900
8480619   2   13516900
8479239   2   13528900
8477859   2   13540900
8476479   2   13552900
8475099   2   13564900
8473719   2   13576900
8472339   2   13588900
8470959   2   13600900
8469579   2   13612900
8468199   2   13624900
8466819   2   13636900
8465439   2   13648900
8464059   2   13660900
8462679   2   13672900
8461299   2   13684900
8459919   2   13696900
8458539   2   13708900
8522019   2   13720900
49971019   1   13732900
49969639   1   13744900
8457159   2   13756900
8455779   2   13768900
8454399   2   13780900
8453019   2   13792900
8451639   2   13804900
8450259   2   13816900
8448879   2   13828900
8447499   2   13840900
8446119   2   13852900
8444739   2   13864900
8443359   2   13876900
8441979   2   13888900
8440599   2   13900900
8439219   2   13912900
8437839   2   13924900
8436459   2   13936900
8435079   2   13948900
8433699   2   13960900
8432319   2   13972900
8430939   2   13984900
8429559   2   13996900
8428179   2   14008900
8426799   2   14020900
8425419   2   14032900
8424039   2   14044900
8422659   2   14056900
8421279   2   14068900
8419899   2   14080900
8418519   2   14092900
8417139   2   14104900
8415759   2   14116900
8414379   2   14128900
8412999   2   14140900
8411619   2   14152900
8410239   2   14164900
8408859   2   14176900
8407479   2   14188900
8406099   2   14200900
8404719   2   14212900
8403339   2   14224900
8401959   2   14236900
8400579   2   14248900
8399199   2   14260900
8397819   2   14272900
8396439   2   14284900
8395059   2   14296900
8393679   2   14308900
8392299   2   14320900
8390919   2   14332900
8389539   2   14344900
8388159   2   14356900
8386779   2   14368900
8385399   2   14380900
8384019   2   14392900
8382639   2   14404900
8381259   2   14416900
8379879   2   14428900
8378499   2   14440900
8377119   2   14452900
8375739   2   14464900
8374359   2   14476900
8372979   2   14488900
8371599   2   14500900
8370219   2   14512900
8368839   2   14524900
8367459   2   14536900
8366079   2   14548900
8364699   2   14560900
8361939   2   14572900
8360559   2   14584900
8359179   2   14596900
8357799   2   14608900
8356419   2   14620900
8355039   2   14632900
8353659   2   14644900
8352279   2   14656900
8350899   2   14668900
8349519   2   14680900
8348139   2   14692900
8346759   2   14704900
8345379   2   14716900
8343999   2   14728900
8342619   2   14740900
8341239   2   14752900
8339859   2   14764900
8338479   2   14776900
8337099   2   14788900
8335719   2   14800900
8334339   2   14812900
8332959   2   14824900
8331579   2   14836900
8330199   2   14848900
8328819   2   14860900
8327439   2   14872900
8326059   2   14884900
8324679   2   14896900
8323299   2   14908900
8321919   2   14920900
8320539   2   14932900
8319159   2   14944900
8317779   2   14956900
8316399   2   14968900
8315019   2   14980900
8313639   2   14992900
8312259   2   15004900
8310879   2   15016900
8309499   2   15028900
8308119   2   15040900
8306739   2   15052900
8305359   2   15064900
8303979   2   15076900
8302599   2   15088900
8301219   2   15100900
8299839   2   15112900
8363319   2   15124900
49968259   1   15136900
49966879   1   15148900
8298459   2   15160900
8297079   2   15172900
8295699   2   15184900
8294319   2   15196900
8292939   2   15208900
